30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 114, Accuracy: 0.9508196721311475, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 118, Accuracy: 1.0, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 119, Accuracy: 0.8333333333333334, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 120, Accuracy: 0.9514563106796117, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 124, Accuracy: 0.9532710280373832, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 126, Accuracy: 0.8055555555555556, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 128, Accuracy: 0.9265536723163842, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 131, Accuracy: 0.9657534246575342, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 132, Accuracy: 0.8055555555555556, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 134, Accuracy: 0.9922480620155039, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 136, Accuracy: 0.8268156424581006, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 137, Accuracy: 0.7657657657657657, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 139, Accuracy: 0.9272727272727272, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 144, Accuracy: 0.994413407821229, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 148, Accuracy: 0.8449612403100775, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 151, Accuracy: 0.7310924369747899, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 153, Accuracy: 0.9459459459459459, # of feature: 137
30-Jan-24 15:07:10 - main_per_user.py - INFO - Userid: 158, Accuracy: 0.9607843137254902, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 159, Accuracy: 0.9782608695652174, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 160, Accuracy: 0.7213114754098361, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 161, Accuracy: 0.893491124260355, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 163, Accuracy: 0.9932885906040269, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 166, Accuracy: 0.8957055214723927, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 167, Accuracy: 0.8503937007874016, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 169, Accuracy: 0.994535519125683, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 173, Accuracy: 0.7816091954022989, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 174, Accuracy: 0.9, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 176, Accuracy: 0.834319526627219, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 177, Accuracy: 0.8511904761904762, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 182, Accuracy: 1.0, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 188, Accuracy: 0.8770491803278688, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 191, Accuracy: 0.8413793103448276, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 194, Accuracy: 0.8505747126436781, # of feature: 137
30-Jan-24 15:07:11 - main_per_user.py - INFO - Userid: 195, Accuracy: 0.8916666666666667, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 196, Accuracy: 0.7711864406779662, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 197, Accuracy: 0.8895705521472392, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 198, Accuracy: 0.7322834645669292, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 199, Accuracy: 0.8376623376623377, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 200, Accuracy: 0.7602739726027398, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 203, Accuracy: 0.9447513812154696, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 204, Accuracy: 0.8514851485148515, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 206, Accuracy: 0.7816091954022989, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 208, Accuracy: 0.8695652173913043, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 210, Accuracy: 0.9444444444444444, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 212, Accuracy: 0.6407766990291263, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 213, Accuracy: 0.937007874015748, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 215, Accuracy: 0.907608695652174, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 216, Accuracy: 0.9689922480620154, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 222, Accuracy: 0.9574468085106383, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 224, Accuracy: 0.8888888888888888, # of feature: 137
30-Jan-24 15:07:12 - main_per_user.py - INFO - Userid: 225, Accuracy: 0.9946236559139785, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 226, Accuracy: 0.9772727272727273, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 229, Accuracy: 0.9005524861878453, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 231, Accuracy: 0.8133333333333334, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 234, Accuracy: 0.8205128205128205, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 236, Accuracy: 0.8173076923076923, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 238, Accuracy: 0.8, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 240, Accuracy: 0.8962962962962963, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 243, Accuracy: 0.8253968253968254, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 244, Accuracy: 0.8109756097560976, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 248, Accuracy: 0.813953488372093, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 251, Accuracy: 0.7961783439490446, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 252, Accuracy: 0.6607142857142857, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 253, Accuracy: 0.8043478260869565, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 254, Accuracy: 0.8333333333333334, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 255, Accuracy: 0.8322147651006712, # of feature: 137
30-Jan-24 15:07:13 - main_per_user.py - INFO - Userid: 256, Accuracy: 0.8545454545454545, # of feature: 137
30-Jan-24 15:07:14 - main_per_user.py - INFO - Userid: 258, Accuracy: 0.8809523809523809, # of feature: 137
30-Jan-24 15:07:14 - main_per_user.py - INFO - Userid: 259, Accuracy: 0.7368421052631579, # of feature: 137
30-Jan-24 15:07:14 - main_per_user.py - INFO - Userid: 260, Accuracy: 0.9679144385026738, # of feature: 137
30-Jan-24 15:07:14 - main_per_user.py - INFO - Userid: 261, Accuracy: 0.8333333333333334, # of feature: 137
30-Jan-24 15:07:14 - main_per_user.py - INFO - Userid: 262, Accuracy: 0.7959183673469388, # of feature: 137
30-Jan-24 15:07:14 - main_per_user.py - INFO - Userid: 264, Accuracy: 0.8924731182795699, # of feature: 137
30-Jan-24 15:07:14 - main_per_user.py - INFO - Userid: 266, Accuracy: 0.9627329192546584, # of feature: 137
30-Jan-24 15:07:14 - main_per_user.py - INFO - Sum of Confusion_table:
30-Jan-24 15:07:14 - main_per_user.py - INFO - [[7278, 1197], [1112, 8544]]
30-Jan-24 15:07:14 - main_per_user.py - INFO - Average accuracy 0.8683490162560505
30-Jan-24 15:07:14 - main_per_user.py - INFO - Average f1 0.8594337854346445
30-Jan-24 15:07:14 - main_per_user.py - INFO - finished
